STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Enclosed,,"MULTIPOLYGON (((-114.07344137123161 51.048127762341096, -114.0734469535146 51.04812792963829, -114.07344719312924 51.04812613783466, -114.0735179087279 51.048128272486935, -114.07351418327826 51.04818754501431, -114.07344051972538 51.04818542749465, -114.07344154794644 51.04817187033686, -114.0734376612117 51.04817160128916, -114.073439795814 51.048142506487075, -114.07341947774027 51.048141943908945, -114.07342074443446 51.04812316266975, -114.07326873981951 51.048118086262846, -114.07327340520824 51.04806500707697, -114.0732738270285 51.04805847397618, -114.07327806514006 51.04800757236992, -114.0732962020733 51.048007833386556, -114.07329917642541 51.0479776188383, -114.07330996244538 51.047972167893434, -114.07332853235191 51.04797297341109, -114.07332133972669 51.048066609551874, -114.07332131266081 51.048066629346266, -114.07336020341684 51.04806794621087, -114.07335978117837 51.048074206923445, -114.07344269311346 51.04807714933417, -114.07343803394305 51.048134039269065, -114.07344064113224 51.04813413741692, -114.07344137123161 51.048127762341096",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07344137123161 51.048127762341096, -114.0734469535146 51.04812792963829, -114.07344719312924 51.04812613783466, -114.0735179087279 51.048128272486935, -114.07351418327826 51.04818754501431, -114.07344051972538 51.04818542749465, -114.07344154794644 51.04817187033686, -114.0734376612117 51.04817160128916, -114.073439795814 51.048142506487075, -114.07341947774027 51.048141943908945, -114.07342074443446 51.04812316266975, -114.07326873981951 51.048118086262846, -114.07327340520824 51.04806500707697, -114.0732738270285 51.04805847397618, -114.07327806514006 51.04800757236992, -114.0732962020733 51.048007833386556, -114.07329917642541 51.0479776188383, -114.07330996244538 51.047972167893434, -114.07332853235191 51.04797297341109, -114.07332133972669 51.048066609551874, -114.07332131266081 51.048066629346266, -114.07336020341684 51.04806794621087, -114.07335978117837 51.048074206923445, -114.07344269311346 51.04807714933417, -114.07343803394305 51.048134039269065, -114.07344064113224 51.04813413741692, -114.07344137123161 51.048127762341096"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0566752860308 51.047384439389255, -114.05660349439496 51.047382482054466, -114.0566193203119 51.04714032881867, -114.05669237505043 51.04714221990606, -114.0566752860308 51.047384439389255",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.0566752860308 51.047384439389255, -114.05660349439496 51.047382482054466, -114.0566193203119 51.04714032881867, -114.05669237505043 51.04714221990606, -114.0566752860308 51.047384439389255"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06357557877797 51.04700980540374, -114.06349893684954 51.04700762750219, -114.06349998098551 51.04692642089925, -114.06357963592379 51.04692736017419, -114.06357557877797 51.04700980540374",,,2024-05-23,,"-114.06357557877797 51.04700980540374, -114.06349893684954 51.04700762750219, -114.06349998098551 51.04692642089925, -114.06357963592379 51.04692736017419, -114.06357557877797 51.04700980540374"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0739297055423 51.051153352545015, -114.07392629441695 51.05120382930941, -114.07321287611332 51.051182521416855, -114.07321281086242 51.051141135462444, -114.0739297055423 51.051153352545015",,,2024-05-23,,"-114.0739297055423 51.051153352545015, -114.07392629441695 51.05120382930941, -114.07321287611332 51.051182521416855, -114.07321281086242 51.051141135462444, -114.0739297055423 51.051153352545015"
Bridge Enclosed,,"MULTIPOLYGON (((-114.05349017074434 51.04468226509982, -114.05343579616093 51.04466837566168, -114.05336921504357 51.044658654019436, -114.05329450007217 51.04465297963073, -114.05322356446875 51.04465253639746, -114.05315036870364 51.044654710161545, -114.05308075865915 51.04465866671356, -114.05304096242234 51.04466689060943, -114.05301003226036 51.044675348698846, -114.0529855251898 51.04469141457715, -114.0529732794481 51.0447062864509, -114.05298527352465 51.044470805718, -114.05300133664386 51.044494583473764, -114.0530211710864 51.044516575953196, -114.05304854945231 51.0445373756636, -114.05309290579491 51.04455757343499, -114.0531429168197 51.044571821909415, -114.05320329971933 51.044583686957985, -114.053276881869 51.04458900502897, -114.05333819726674 51.0445907606268, -114.05339479122806 51.044587761881175, -114.05343629110438 51.044584174889636, -114.05346646887746 51.044578809499974, -114.05349664464546 51.04457047119837, -114.0534825062619 51.04457999150438, -114.05346459800404 51.04459129799542, -114.0534542404276 51.04460854684076, -114.05344955182504 51.044632334922255, -114.0534552330681 51.04465076577361, -114.05347129032921 51.04466919187815, -114.05349017074434 51.04468226509982",,,2024-05-23,,"-114.05349017074434 51.04468226509982, -114.05343579616093 51.04466837566168, -114.05336921504357 51.044658654019436, -114.05329450007217 51.04465297963073, -114.05322356446875 51.04465253639746, -114.05315036870364 51.044654710161545, -114.05308075865915 51.04465866671356, -114.05304096242234 51.04466689060943, -114.05301003226036 51.044675348698846, -114.0529855251898 51.04469141457715, -114.0529732794481 51.0447062864509, -114.05298527352465 51.044470805718, -114.05300133664386 51.044494583473764, -114.0530211710864 51.044516575953196, -114.05304854945231 51.0445373756636, -114.05309290579491 51.04455757343499, -114.0531429168197 51.044571821909415, -114.05320329971933 51.044583686957985, -114.053276881869 51.04458900502897, -114.05333819726674 51.0445907606268, -114.05339479122806 51.044587761881175, -114.05343629110438 51.044584174889636, -114.05346646887746 51.044578809499974, -114.05349664464546 51.04457047119837, -114.0534825062619 51.04457999150438, -114.05346459800404 51.04459129799542, -114.0534542404276 51.04460854684076, -114.05344955182504 51.044632334922255, -114.0534552330681 51.04465076577361, -114.05347129032921 51.04466919187815, -114.05349017074434 51.04468226509982"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07893224887945 51.04739175397356, -114.0790078946389 51.04739354575891, -114.07900563677664 51.04744955240819, -114.07892942031538 51.04744767110947, -114.07893224887945 51.04739175397356",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07893224887945 51.04739175397356, -114.0790078946389 51.04739354575891, -114.07900563677664 51.04744955240819, -114.07892942031538 51.04744767110947, -114.07893224887945 51.04739175397356"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07513500486314 51.04828919143698, -114.07386479364378 51.04825002553212, -114.07386814082345 51.048202476739064, -114.07386850447763 51.04819798164461, -114.07397825068385 51.048200430257694, -114.07404833830522 51.04820308279493, -114.07422482212927 51.04820909465761, -114.07422420098581 51.04822200430321, -114.07424560892696 51.04822270988483, -114.07424470348946 51.04823620404351, -114.07426639546073 51.04823704428684, -114.07426534942466 51.048251797097095, -114.07498585350747 51.04827100301003, -114.07498683003877 51.04825750880003, -114.07500773863052 51.04825807971646, -114.07500842897899 51.04824400225648, -114.07503054988146 51.04824461733949, -114.07503088542204 51.04823161797564, -114.07513884393374 51.04823442623572, -114.07579171205629 51.04825369851011, -114.07578580341945 51.04831049855145, -114.0754629566883 51.04830102190317, -114.07513500486314 51.04828919143698",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07513500486314 51.04828919143698, -114.07386479364378 51.04825002553212, -114.07386814082345 51.048202476739064, -114.07386850447763 51.04819798164461, -114.07397825068385 51.048200430257694, -114.07404833830522 51.04820308279493, -114.07422482212927 51.04820909465761, -114.07422420098581 51.04822200430321, -114.07424560892696 51.04822270988483, -114.07424470348946 51.04823620404351, -114.07426639546073 51.04823704428684, -114.07426534942466 51.048251797097095, -114.07498585350747 51.04827100301003, -114.07498683003877 51.04825750880003, -114.07500773863052 51.04825807971646, -114.07500842897899 51.04824400225648, -114.07503054988146 51.04824461733949, -114.07503088542204 51.04823161797564, -114.07513884393374 51.04823442623572, -114.07579171205629 51.04825369851011, -114.07578580341945 51.04831049855145, -114.0754629566883 51.04830102190317, -114.07513500486314 51.04828919143698"
Enclosed,,"MULTIPOLYGON (((-114.06840258319687 51.04443007435337, -114.06840089588722 51.04445118233926, -114.06839976026862 51.04446538228996, -114.06837634774553 51.04446471456716, -114.06836392575498 51.04448434462666, -114.06834302037373 51.044508974342214, -114.06831588813937 51.04453218102278, -114.06829172825763 51.04454698235632, -114.06826668967268 51.044559682398095, -114.0682468950015 51.04456968335119, -114.0682203115352 51.04458111583348, -114.06819372334118 51.04458933717929, -114.06817109410784 51.044595772646616, -114.06814789662874 51.04460078087105, -114.06812356633262 51.04460543375766, -114.06809980046305 51.04460794495555, -114.06807659878675 51.04461009892754, -114.06805679150781 51.04461153803252, -114.06771267279314 51.04460424495688, -114.06771657695282 51.04456680854123, -114.0678047885628 51.04456970603346, -114.06780533530643 51.04456130031443, -114.06804648228496 51.04456854433649, -114.0680637332923 51.044568534291756, -114.06808837242285 51.044565413088456, -114.06811424366288 51.0445622911619, -114.06814134473179 51.04455761418753, -114.06816721055036 51.04454983197397, -114.0681906118487 51.044542827006666, -114.06820785001428 51.0445350498174, -114.06822632056974 51.04452649429417, -114.0682472507765 51.04451483047944, -114.0682657144685 51.04450161557443, -114.06828048067439 51.04448762521454, -114.06829647869786 51.04447441084604, -114.0683050854777 51.04446120079505, -114.06830992481089 51.04440060985091, -114.06840469198818 51.04440369813608, -114.06840258319687 51.04443007435337",,,2024-05-23,,"-114.06840258319687 51.04443007435337, -114.06840089588722 51.04445118233926, -114.06839976026862 51.04446538228996, -114.06837634774553 51.04446471456716, -114.06836392575498 51.04448434462666, -114.06834302037373 51.044508974342214, -114.06831588813937 51.04453218102278, -114.06829172825763 51.04454698235632, -114.06826668967268 51.044559682398095, -114.0682468950015 51.04456968335119, -114.0682203115352 51.04458111583348, -114.06819372334118 51.04458933717929, -114.06817109410784 51.044595772646616, -114.06814789662874 51.04460078087105, -114.06812356633262 51.04460543375766, -114.06809980046305 51.04460794495555, -114.06807659878675 51.04461009892754, -114.06805679150781 51.04461153803252, -114.06771267279314 51.04460424495688, -114.06771657695282 51.04456680854123, -114.0678047885628 51.04456970603346, -114.06780533530643 51.04456130031443, -114.06804648228496 51.04456854433649, -114.0680637332923 51.044568534291756, -114.06808837242285 51.044565413088456, -114.06811424366288 51.0445622911619, -114.06814134473179 51.04455761418753, -114.06816721055036 51.04454983197397, -114.0681906118487 51.044542827006666, -114.06820785001428 51.0445350498174, -114.06822632056974 51.04452649429417, -114.0682472507765 51.04451483047944, -114.0682657144685 51.04450161557443, -114.06828048067439 51.04448762521454, -114.06829647869786 51.04447441084604, -114.0683050854777 51.04446120079505, -114.06830992481089 51.04440060985091, -114.06840469198818 51.04440369813608, -114.06840258319687 51.04443007435337"
Enclosed,,"MULTIPOLYGON (((-114.07771010166914 51.045812560122585, -114.07770452915197 51.04584534938396, -114.07770446002803 51.045846652941215, -114.07761190206902 51.045844108315464, -114.07761937018276 51.045729548984845, -114.07762836759102 51.04572965897694, -114.07764151473366 51.0455240568398, -114.07734504990854 51.045513888238055, -114.0773329841453 51.045688827444245, -114.07698174672028 51.04567883978186, -114.07698752470482 51.045595061550145, -114.07675735558468 51.04558833398933, -114.07675590111542 51.045628114514656, -114.07675366689647 51.04565687323977, -114.07667695150856 51.04565586999589, -114.07668868932706 51.04548206377858, -114.0766220325176 51.045480259206066, -114.0766257726588 51.04543069635278, -114.07669313394754 51.045432540015746, -114.07670911569268 51.045192266305804, -114.07709632530742 51.04520327836899, -114.07708247760343 51.04540405253165, -114.0772640893727 51.04540835376825, -114.07727701239897 51.045227416043474, -114.0772813717381 51.045199023581155, -114.07728137593854 51.045198976831756, -114.07736515793921 51.04520152123575, -114.07736490688993 51.045230594201676, -114.07734716434446 51.04546052467924, -114.07748437021823 51.04546526578229, -114.07751112382716 51.04546626747898, -114.0776475150587 51.04547078059151, -114.0776479519597 51.04546767884317, -114.07773745926306 51.04547136806454, -114.07771757235325 51.04573121784765, -114.07771010166914 51.045812560122585, (-114.07725391054318 51.04562903148553, -114.07726582897 51.045456223848994, -114.07699607081443 51.04544855293046, -114.07701007909553 51.04524548179683, -114.07679343756976 51.04523932073613, -114.07677204138493 51.045538254225605, -114.07706991097265 51.04554672609281, -114.07706460521314 51.04562364934628, -114.07725391054318 51.04562903148553",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07771010166914 51.045812560122585, -114.07770452915197 51.04584534938396, -114.07770446002803 51.045846652941215, -114.07761190206902 51.045844108315464, -114.07761937018276 51.045729548984845, -114.07762836759102 51.04572965897694, -114.07764151473366 51.0455240568398, -114.07734504990854 51.045513888238055, -114.0773329841453 51.045688827444245, -114.07698174672028 51.04567883978186, -114.07698752470482 51.045595061550145, -114.07675735558468 51.04558833398933, -114.07675590111542 51.045628114514656, -114.07675366689647 51.04565687323977, -114.07667695150856 51.04565586999589, -114.07668868932706 51.04548206377858, -114.0766220325176 51.045480259206066, -114.0766257726588 51.04543069635278, -114.07669313394754 51.045432540015746, -114.07670911569268 51.045192266305804, -114.07709632530742 51.04520327836899, -114.07708247760343 51.04540405253165, -114.0772640893727 51.04540835376825, -114.07727701239897 51.045227416043474, -114.0772813717381 51.045199023581155, -114.07728137593854 51.045198976831756, -114.07736515793921 51.04520152123575, -114.07736490688993 51.045230594201676, -114.07734716434446 51.04546052467924, -114.07748437021823 51.04546526578229, -114.07751112382716 51.04546626747898, -114.0776475150587 51.04547078059151, -114.0776479519597 51.04546767884317, -114.07773745926306 51.04547136806454, -114.07771757235325 51.04573121784765, -114.07771010166914 51.045812560122585, (-114.07725391054318 51.04562903148553, -114.07726582897 51.045456223848994, -114.07699607081443 51.04544855293046, -114.07701007909553 51.04524548179683, -114.07679343756976 51.04523932073613, -114.07677204138493 51.045538254225605, -114.07706991097265 51.04554672609281, -114.07706460521314 51.04562364934628, -114.07725391054318 51.04562903148553"
Enclosed,,"MULTIPOLYGON (((-114.06719516841088 51.04623235148292, -114.06717871040219 51.046457640027455, -114.0672246758394 51.04648937342211, -114.06696443979858 51.046481692752465, -114.0670243650296 51.04645290384855, -114.06703380378346 51.046249859948574, -114.06706964825759 51.046230551016464, -114.06719516841088 51.04623235148292",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06719516841088 51.04623235148292, -114.06717871040219 51.046457640027455, -114.0672246758394 51.04648937342211, -114.06696443979858 51.046481692752465, -114.0670243650296 51.04645290384855, -114.06703380378346 51.046249859948574, -114.06706964825759 51.046230551016464, -114.06719516841088 51.04623235148292"
Enclosed,,"MULTIPOLYGON (((-114.06955994978324 51.0487158643052, -114.06956000520265 51.048714777414084, -114.06956072973504 51.048714797659265, -114.06956065292827 51.04871588815901, -114.06955994978324 51.0487158643052, ((-114.06948600880885 51.048712736709874, -114.06949534072405 51.04871299456078, -114.06949532674068 51.04871318065646, -114.06948598929155 51.048713036978405, -114.06948600880885 51.048712736709874",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06955994978324 51.0487158643052, -114.06956000520265 51.048714777414084, -114.06956072973504 51.048714797659265, -114.06956065292827 51.04871588815901, -114.06955994978324 51.0487158643052, ((-114.06948600880885 51.048712736709874, -114.06949534072405 51.04871299456078, -114.06949532674068 51.04871318065646, -114.06948598929155 51.048713036978405, -114.06948600880885 51.048712736709874"
